complaint_id,customer_id,complaint_type,complaint_date,status,resolution_days,priority
1,635,Data Not Working,2025-09-01 05:15:34,Resolved,6,High
2,6530,Porting Issue,2023-05-09 15:57:46,Escalated,,Medium
3,48147,Wrong Plan Charged,2026-03-05 10:09:03,Closed,6,High
4,14454,Porting Issue,2025-01-20 13:08:55,Closed,10,Medium
5,19700,Refund Request,2023-09-26 10:05:29,Closed,6,Low
6,3925,SIM Activation,2024-01-27 06:37:43,Resolved,14,High
7,34604,Call Drop,2025-08-09 08:37:11,Open,,Low
8,8038,Recharge Failure,2025-05-16 21:29:50,In Progress,,Low
9,18730,Network Issue,2023-06-08 15:03:29,Open,,High
10,38652,Signal Not Available,2025-06-12 23:01:58,In Progress,,Critical
11,49504,Data Not Working,2025-06-14 14:10:21,Open,,High
12,10855,Signal Not Available,2025-10-19 01:49:40,Open,,Critical
13,31955,Signal Not Available,2023-07-10 10:22:45,Resolved,12,High
14,26572,Slow Internet,2023-06-16 05:21:12,Escalated,,Critical
15,1453,Signal Not Available,2025-08-22 05:51:00,Closed,13,Critical
16,46429,SIM Activation,2023-03-12 16:31:48,Open,,Critical
17,1010,Network Issue,2023-11-08 03:51:31,Closed,9,Critical
18,25877,Porting Issue,2026-04-01 19:33:12,Escalated,,Critical
19,32049,Signal Not Available,2024-11-03 19:07:14,Closed,2,Medium
20,43839,Refund Request,2024-01-08 00:22:16,Open,,Critical
21,31232,Refund Request,2023-08-05 22:40:33,Escalated,,Critical
22,8542,Data Not Working,2023-08-11 12:38:53,Open,,Low
23,2197,Data Not Working,2025-11-30 04:08:25,Closed,11,Critical
24,9223,Recharge Failure,2026-06-08 01:50:29,Open,,High
25,13781,Customer Service,2025-11-09 16:20:14,Closed,7,Low
26,4809,Slow Internet,2025-07-29 02:15:21,In Progress,,Critical
27,27988,Signal Not Available,2025-07-08 07:02:26,Open,,High
28,30266,Porting Issue,2023-06-24 21:59:53,Closed,2,Critical
29,5756,Network Issue,2025-10-01 16:49:57,Closed,7,High
30,13945,Call Drop,2023-02-01 12:48:27,In Progress,,High
31,26424,Network Issue,2023-02-16 05:04:11,Open,,High
32,35162,Customer Service,2025-05-05 02:00:05,In Progress,,Critical
33,1583,Data Not Working,2023-05-21 05:15:38,Closed,5,High
34,44724,Porting Issue,2023-06-01 08:38:25,Resolved,11,High
35,36559,Signal Not Available,2023-08-16 14:09:18,Closed,6,Critical
36,26851,Billing Dispute,2024-08-13 21:44:05,Open,,High
37,6974,Customer Service,2024-02-25 18:06:32,Open,,Medium
38,36699,SIM Activation,2026-04-03 05:45:20,Resolved,8,High
39,6908,Recharge Failure,2023-03-25 15:56:27,In Progress,,Critical
40,3653,Signal Not Available,2023-06-20 07:22:54,Open,,Low
41,48961,Call Drop,2024-02-12 22:41:11,In Progress,,High
42,30734,Signal Not Available,2024-07-29 16:17:30,Closed,15,Medium
43,33225,Refund Request,2024-07-12 10:49:07,In Progress,,High
44,35052,Call Drop,2026-03-06 23:44:14,Open,,Medium
45,25976,Recharge Failure,2023-03-24 14:35:24,Resolved,13,Low
