usage_id,customer_id,tower_id,session_date,data_used_mb,session_duration_min,network_type
1,32851,66,2024-01-26 08:45:47,2501.13,150.8,4G
2,31182,222,2023-12-13 23:08:59,2960.64,175.4,4G
3,23017,179,2024-02-28 12:00:09,1131.37,84.9,5G
4,13606,317,2025-02-03 16:17:30,73.75,268.3,5G
5,43357,169,2025-06-27 21:39:46,4336.46,91.0,5G
6,5467,238,2025-02-11 16:16:18,3270.07,193.7,5G
7,24226,179,2026-01-26 07:31:47,2965.02,292.4,3G
8,29603,270,2025-09-17 04:17:13,1332.09,93.3,3G
9,37608,221,2024-04-22 02:11:38,3764.16,5.1,4G
10,46145,11,2024-05-29 16:04:59,422.77,195.7,4G
11,4624,29,2024-09-27 20:59:46,2090.72,66.1,3G
12,27292,283,2026-05-27 09:48:13,1765.49,272.0,4G
13,20888,10,2024-08-02 07:05:24,4.6,34.6,5G
14,16824,175,2023-10-06 00:31:51,1095.69,173.1,5G
15,32245,288,2024-04-23 19:44:44,4165.23,193.5,3G
16,48223,93,2024-08-11 15:41:04,2414.88,188.9,4G
17,33888,257,2025-03-08 19:37:19,4899.32,138.5,5G
18,16623,294,2024-02-11 14:07:43,2303.3,123.7,5G
19,29166,238,2023-03-26 18:48:28,4122.21,185.3,5G
20,37754,101,2023-07-23 11:45:58,4037.0,144.5,5G
21,3917,225,2024-04-21 22:45:21,3001.38,270.6,4G
22,40163,439,2025-10-10 07:43:46,966.16,251.6,4G
23,2851,28,2024-05-12 20:05:42,1775.59,92.1,4G
24,12239,449,2024-01-29 08:15:57,2489.0,196.2,3G
25,16755,362,2025-11-23 02:34:55,4997.07,126.8,5G
26,23143,136,2023-07-31 14:46:08,1908.97,79.2,5G
27,18248,223,2025-02-08 11:17:12,1035.24,139.7,3G
28,32103,201,2024-02-04 10:47:00,1004.24,36.2,5G
29,5424,3,2026-04-27 03:22:59,4542.76,32.9,3G
30,6279,62,2025-09-30 02:15:54,500.97,166.1,5G
31,5493,96,2023-01-29 02:08:53,2842.52,179.2,4G
32,38205,138,2023-09-18 12:11:33,1964.91,48.1,4G
33,34641,236,2025-12-04 11:25:43,3374.47,33.4,5G
34,3199,223,2023-08-11 14:19:57,3261.91,95.5,4G
35,9704,184,2024-02-29 02:41:59,3696.95,12.4,4G
36,33480,381,2023-03-17 02:36:44,2723.16,103.5,3G
37,30180,17,2024-04-10 21:03:30,946.47,87.9,5G
38,1372,28,2025-01-14 18:33:50,1263.84,208.2,3G
39,15136,411,2023-03-12 02:28:17,74.3,235.9,3G
40,20508,46,2026-02-19 16:12:07,3975.9,69.5,3G
41,48868,457,2024-02-19 22:47:42,3676.71,222.6,3G
42,11764,94,2024-12-10 03:40:40,3301.48,252.8,5G
43,7819,37,2026-01-10 07:24:40,4106.62,232.6,5G
44,23629,202,2023-08-30 19:54:47,1555.02,121.0,3G
45,41320,104,2026-01-23 05:57:00,2634.75,138.5,4G
46,22284,24,2024-08-03 05:37:25,610.27,271.5,3G
47,33235,319,2024-03-10 09:28:38,2709.78,262.5,5G
