tower_id,location_id,tower_type,latitude,longitude,installed_date,status,capacity_mbps
1,16,5G,28.994922,73.427378,2016-02-02,Under Maintenance,500
2,28,5G,20.142641,83.123365,2022-07-21,Active,100
3,26,4G/5G,16.821868,85.510106,2017-10-15,Active,250
4,35,5G,11.64474,73.302785,2020-03-09,Active,100
5,29,4G/5G,10.545627,81.738608,2021-01-23,Active,100
6,16,4G,18.566766,78.664452,2024-09-11,Under Maintenance,100
7,11,5G,8.05604,77.027592,2023-10-17,Under Maintenance,500
8,28,4G/5G,32.890259,87.917608,2021-03-26,Under Maintenance,250
9,13,5G,13.660223,71.052699,2023-04-02,Inactive,100
10,21,4G,9.303701,78.582193,2024-07-24,Inactive,250
11,4,4G/5G,10.082898,73.344849,2021-09-03,Active,250
12,26,4G,32.481499,80.254157,2021-06-29,Inactive,100
13,40,4G,18.899848,80.506101,2020-11-11,Active,500
14,14,4G/5G,26.620987,74.296347,2019-06-10,Active,500
15,30,5G,32.154477,86.843217,2015-02-08,Under Maintenance,2000
16,37,4G,9.904779,73.836778,2017-12-22,Active,500
17,5,4G,17.607704,72.839443,2024-05-08,Inactive,500
18,40,4G/5G,21.752458,82.021538,2021-03-21,Active,100
19,9,5G,11.001145,71.926648,2021-03-16,Active,500
20,19,4G/5G,13.476371,76.171845,2022-09-16,Active,2000
21,32,5G,31.538749,85.229867,2016-01-14,Under Maintenance,500
22,3,4G,16.67247,72.354754,2017-12-08,Active,1000
23,36,4G/5G,19.11986,70.174055,2015-11-05,Active,2000
24,3,5G,23.145249,72.665688,2016-06-06,Active,500
25,24,4G,31.372041,73.781378,2017-10-19,Active,500
26,36,5G,33.319763,83.490597,2017-08-27,Active,250
27,27,4G,12.663377,86.640771,2023-10-10,Under Maintenance,250
28,18,4G,28.471737,71.945721,2024-10-12,Active,1000
29,15,4G,29.231252,78.285458,2018-06-04,Active,250
30,2,4G/5G,13.021374,75.908715,2024-09-10,Active,500
31,23,4G/5G,21.244548,82.231326,2024-06-17,Inactive,500
32,2,4G,30.802999,74.701874,2021-07-06,Active,100
33,7,4G/5G,19.298658,83.113811,2018-07-08,Under Maintenance,2000
34,33,4G,18.015081,80.378585,2017-11-09,Active,1000
35,1,4G/5G,32.064954,79.692136,2023-01-25,Active,500
36,28,4G,32.670737,86.573875,2021-12-27,Active,100
37,20,4G/5G,16.041401,77.351072,2019-07-07,Active,2000
38,9,4G,18.931605,86.926546,2022-08-06,Active,2000
39,37,5G,18.557954,85.007053,2018-05-29,Active,250
40,28,4G/5G,23.773201,75.800486,2019-12-15,Under Maintenance,250
41,33,5G,28.63712,87.276976,2023-04-03,Active,100
42,19,4G/5G,25.2602,81.146694,2016-01-18,Active,500
43,15,4G,11.831203,70.831847,2020-04-30,Inactive,100
44,30,5G,31.03956,80.362076,2023-01-21,Under Maintenance,1000
45,26,4G,11.836855,82.377203,2023-06-03,Active,1000
46,15,4G,28.906856,82.526412,2020-03-17,Active,2000
47,16,4G,19.868007,84.425499,2022-06-27,Inactive,2000
48,39,5G,32.70103,86.045667,2021-11-14,Inactive,1000
49,36,5G,31.327411,83.385798,2020-04-28,Under Maintenance,500
50,16,4G/5G,15.210095,83.998147,2020-06-07,Active,500
51,29,4G,26.552166,74.220884,2018-10-07,Active,2000
52,6,4G,11.921597,76.894635,2016-09-17,Active,100
53,27,5G,16.602916,78.386637,2015-09-13,Active,1000
54,25,4G/5G,32.597613,70.351575,2024-11-16,Inactive,1000
55,31,4G,32.511283,75.375028,2019-05-17,Under Maintenance,2000
56,35,4G/5G,31.343095,78.788131,2018-01-22,Under Maintenance,1000
57,2,5G,16.739368,82.224554,2019-07-15,Active,1000
58,9,4G/5G,21.887214,86.32472,2021-08-21,Inactive,100
59,6,4G/5G,19.143932,85.603324,2017-01-14,Active,500
60,25,5G,13.503167,75.883224,2023-07-15,Under Maintenance,500
61,27,5G,29.707684,78.465523,2023-05-27,Inactive,100
62,23,4G,24.903746,84.062195,2022-04-23,Active,100
63,16,4G,29.81995,81.184042,2017-09-04,Active,1000
64,8,4G/5G,32.641683,78.370612,2017-11-15,Active,250
65,39,4G/5G,33.057103,82.93043,2023-09-21,Active,500
66,7,4G/5G,8.667639,75.61523,2022-08-06,Under Maintenance,1000
67,13,4G,23.394544,84.950289,2017-09-21,Active,500
68,39,4G,28.701908,80.186786,2015-06-18,Active,2000
69,28,4G/5G,17.634843,79.107294,2018-10-29,Active,1000
70,32,4G,19.271608,76.519385,2024-12-30,Under Maintenance,250
71,28,4G,27.078678,87.378527,2018-01-11,Inactive,2000
72,31,5G,19.324937,83.158472,2018-01-04,Active,250
73,6,5G,30.922411,74.389542,2020-03-18,Inactive,2000
74,25,5G,8.7462,85.317151,2017-01-14,Under Maintenance,250
75,23,5G,16.84881,85.84576,2022-11-12,Active,2000
76,1,4G/5G,32.649627,71.541033,2023-01-28,Under Maintenance,1000
77,36,4G,25.955843,81.626252,2020-07-03,Under Maintenance,100
78,6,5G,13.761506,82.452169,2018-06-08,Inactive,500
79,31,4G/5G,21.80397,77.659069,2023-05-14,Inactive,500
80,23,4G/5G,19.797377,75.519214,2017-08-02,Active,250
81,21,4G,27.314908,87.115796,2022-09-27,Active,250
82,14,4G/5G,20.589163,83.04253,2023-07-11,Inactive,2000
83,19,4G,29.648337,75.332436,2019-01-18,Active,500
84,1,4G/5G,21.887512,74.937604,2015-08-12,Inactive,500
85,9,4G/5G,30.579991,78.835817,2024-10-14,Active,2000
86,19,5G,20.446569,76.132707,2015-07-30,Active,1000
87,8,4G,18.418393,71.333479,2022-01-22,Active,250
88,10,4G/5G,32.677267,71.533256,2017-10-13,Active,2000
89,27,4G/5G,23.499298,81.13153,2023-09-13,Inactive,1000
90,29,5G,15.731181,80.593452,2019-10-23,Active,2000
91,40,4G,23.850404,83.321607,2023-07-22,Active,250
92,17,4G/5G,10.110874,74.317573,2021-03-10,Active,250
93,1,5G,19.713096,80.688602,2018-04-07,Active,250
94,19,4G/5G,15.350678,85.472921,2015-10-19,Active,500
95,41,4G/5G,25.190759,86.806032,2019-10-08,Active,2000
96,15,4G/5G,11.873724,74.781384,2016-08-05,Active,100
97,11,5G,23.471145,84.836325,2018-03-28,Under Maintenance,100
98,30,4G/5G,15.906371,77.245153,2018-01-20,Inactive,2000
99,32,5G,10.091488,70.717494,2019-11-05,Active,2000
100,17,4G,10.374499,87.3144,2024-05-17,Inactive,2000
101,2,4G/5G,29.356952,80.372446,2023-07-23,Active,1000
102,34,4G/5G,19.497965,75.006818,2021-07-25,Under Maintenance,1000
103,6,5G,17.046987,75.999551,2022-07-07,Active,250
104,22,5G,26.035516,75.18792,2019-06-29,Inactive,100
105,30,4G,16.177446,75.818928,2023-08-31,Under Maintenance,2000
106,1,4G/5G,30.603555,78.315574,2015-08-11,Active,2000
107,24,4G/5G,27.667522,81.257357,2023-07-10,Active,250
108,18,4G/5G,11.406344,75.184525,2024-11-16,Under Maintenance,100
109,2,4G/5G,23.830663,74.307354,2016-10-10,Active,2000
110,1,4G/5G,18.607758,74.044612,2024-06-08,Active,1000
111,8,4G/5G,29.635723,78.970759,2023-01-14,Active,2000
112,18,5G,29.702823,87.644403,2017-09-25,Under Maintenance,2000
113,10,5G,12.95587,80.788797,2023-05-15,Active,100
114,18,5G,16.836756,84.178913,2017-12-30,Active,500
115,20,4G/5G,23.078008,81.878934,2024-09-14,Active,1000
116,35,5G,16.973222,79.934514,2021-02-03,Under Maintenance,1000
117,21,4G,33.50014,74.2985,2019-04-18,Active,1000
118,3,5G,27.362334,82.694102,2024-02-06,Under Maintenance,1000
119,42,4G,20.878545,70.666353,2020-08-19,Inactive,500
120,7,5G,10.592504,86.38795,2015-03-04,Active,1000
121,42,4G,9.945534,84.067455,2017-12-21,Active,2000
122,26,4G/5G,10.088198,75.914181,2022-07-25,Inactive,1000
123,21,4G/5G,26.686653,83.669233,2024-10-13,Inactive,100
124,40,4G,14.104026,82.319192,2018-03-23,Active,100
125,28,4G,27.769612,82.670035,2016-02-16,Under Maintenance,250
126,20,4G,9.195765,84.330582,2018-04-16,Active,500
127,28,4G,14.349133,77.416931,2022-08-24,Active,250
128,12,4G,23.846786,76.885797,2022-08-30,Active,1000
129,38,4G,14.0369,81.482283,2020-02-26,Active,100
130,30,5G,25.617883,72.843561,2019-12-15,Active,2000
131,20,4G/5G,33.012756,82.425643,2020-02-15,Active,250
132,25,5G,10.772985,76.864557,2019-01-10,Inactive,500
133,19,4G,33.426557,81.848137,2018-01-29,Active,2000
134,4,4G/5G,27.374476,84.9911,2018-03-18,Active,2000
135,23,4G,24.552065,81.176041,2022-08-08,Active,100
136,41,4G/5G,9.024987,84.194989,2015-05-17,Inactive,500
137,9,4G,31.650323,75.880944,2019-08-29,Active,250
138,9,4G/5G,30.787976,76.585436,2020-08-17,Active,250
139,17,5G,33.151986,75.312546,2024-10-05,Active,100
140,30,4G,11.659682,87.397004,2024-08-24,Under Maintenance,2000
141,24,4G,28.557731,70.250536,2021-01-06,Active,1000
142,24,4G/5G,27.474302,74.718905,2019-04-10,Active,100
143,15,5G,8.650641,85.916227,2021-04-18,Active,2000
144,15,4G/5G,9.643643,84.829396,2022-11-11,Active,1000
145,8,4G,9.179017,70.669818,2020-07-10,Active,100
146,16,4G/5G,11.527265,78.165588,2022-07-09,Inactive,1000
147,38,4G/5G,26.891578,85.937448,2022-05-06,Active,1000
148,40,5G,32.41538,75.035323,2022-09-28,Active,250
149,29,5G,32.714434,85.398103,2016-02-11,Active,2000
150,42,5G,9.574302,74.965866,2016-05-15,Under Maintenance,100
151,14,4G/5G,24.626816,87.47968,2015-07-27,Active,250
152,9,4G/5G,13.335345,84.936721,2021-03-20,Active,2000
153,14,4G,16.542548,72.655975,2021-09-07,Active,500
154,10,4G,22.045602,84.373249,2016-03-26,Active,250
155,1,5G,28.539601,74.282769,2018-08-19,Active,250
156,17,4G,11.295722,77.57729,2016-04-10,Active,1000
157,29,5G,21.344187,71.962972,2020-08-25,Active,2000
